name	country_code	include_code	hiv_projection
Honduras	340	2	1
Mexico	484	2	0
Nicaragua	558	2	0
Panama	591	2	1
South America	931	0	0
Argentina	32	2	0
Bolivia (Plurinational State of)	68	2	0
Brazil	76	2	0
Chile	152	2	0
Colombia	170	2	0
Ecuador	218	2	0
Falkland Islands (Malvinas)	238	2	0
French Guiana	254	2	0
Guyana	328	2	1
Paraguay	600	2	0
Peru	604	2	0
Suriname	740	2	1
Uruguay	858	2	0
Venezuela (Bolivarian Republic of)	862	2	0
Australia	36	2	0
New Zealand	554	2	0
Melanesia	928	0	0
Fiji	242	2	0
New Caledonia	540	2	0
Papua New Guinea	598	2	1
Solomon Islands	90	2	0
Vanuatu	548	2	0
Micronesia	954	0	0
Guam	316	2	0
Kiribati	296	2	0
Marshall Islands	584	2	0
Micronesia (Fed. States of)	583	2	0
Nauru	520	2	0
Northern Mariana Islands	580	2	0
Palau	585	2	0
Polynesia	957	0	0
American Samoa	16	2	0
Cook Islands	184	2	0
French Polynesia	258	2	0
Niue	570	2	0
Samoa	882	2	0
Tokelau	772	2	0
Tonga	776	2	0
Tuvalu	798	2	0
Wallis and Futuna Islands	876	2	0
Eastern Europe	923	0	0
Belarus	112	2	0
Bulgaria	100	2	0
Czechia	203	2	0
Hungary	348	2	0
Poland	616	2	0
Republic of Moldova	498	2	0
Romania	642	2	0
Russian Federation	643	2	1
Slovakia	703	2	0
Ukraine	804	2	1
Northern Europe	924	0	0
Channel Islands	830	2	0
Denmark	208	2	0
Estonia	233	2	0
Faroe Islands	234	2	0
Finland	246	2	0
Iceland	352	2	0
Ireland	372	2	0
Isle of Man	833	2	0
Latvia	428	2	0
Lithuania	440	2	0
Norway	578	2	0
Sweden	752	2	0
United Kingdom	826	2	0
Southern Europe	925	0	0
Albania	8	2	0
Andorra	20	2	0
Bosnia and Herzegovina	70	2	0
Croatia	191	2	0
Gibraltar	292	2	0
Greece	300	2	0
Holy See	336	2	0
Italy	380	2	0
Malta	470	2	0
Montenegro	499	2	0
North Macedonia	807	2	0
Portugal	620	2	0
San Marino	674	2	0
Serbia	688	2	0
Slovenia	705	2	0
Spain	724	2	0
Western Europe	926	0	0
Austria	40	2	0
Belgium	56	2	0
France	250	2	0
Germany	276	2	0
Liechtenstein	438	2	0
Luxembourg	442	2	0
Monaco	492	2	0
Netherlands	528	2	0
Switzerland	756	2	0
Bermuda	60	2	0
Canada	124	2	0
Greenland	304	2	0
Saint Pierre and Miquelon	666	2	0
United States of America	840	2	0
